pathway_id,pathway_name,gene_id,kegg_gene_symbol,gene_symbol,entrez,tdc_idx,matched_via,category,is_enzyme,degree,betweenness,is_articulation,importance
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:10327,AKR1A1,AKR1A1,10327,712,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:124,ADH1A,ADH1A,124,5790,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:125,ADH1B,ADH1B,125,5791,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:126,ADH1C,ADH1C,126,5792,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:127,ADH4,ADH4,127,5787,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:128,ADH5,ADH5,128,5785,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:130,ADH6,ADH6,130,5789,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:130589,GALM,GALM,130589,2657,direct,Metabolism,True,9,0.0273241835303546,False,0.9
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:131,ADH7,ADH7,131,5793,direct,Metabolism,True,4,0.006708742402992,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:160287,LDHAL6A,LDHAL6A,160287,12739,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:1737,DLAT,DLAT,1737,13628,direct,Metabolism,True,6,0.1109163160355306,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:1738,DLD,DLD,1738,9279,direct,Metabolism,True,4,0.006778868630201,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2023,ENO1,ENO1,2023,139,direct,Metabolism,True,6,0.1986909770920991,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2026,ENO2,ENO2,2026,13973,direct,Metabolism,True,6,0.1986909770920991,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2027,ENO3,ENO3,2027,18174,direct,Metabolism,True,6,0.1986909770920991,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:217,ALDH2,ALDH2,217,14874,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:218,ALDH3A1,ALDH3A1,218,18439,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:219,ALDH1B1,ALDH1B1,219,10727,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2203,FBP1,FBP1,2203,10942,direct,Metabolism,True,4,0.0814633006077606,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:221,ALDH3B1,ALDH3B1,221,13319,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:222,ALDH3B2,ALDH3B2,222,13316,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:223,ALDH9A1,ALDH9A1,223,1733,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:224,ALDH3A2,ALDH3A2,224,18437,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:226,ALDOA,ALDOA,226,17531,direct,Metabolism,True,7,0.186711079943899,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:229,ALDOB,ALDOB,229,11008,direct,Metabolism,True,7,0.186711079943899,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:230,ALDOC,ALDOC,230,18487,direct,Metabolism,True,7,0.186711079943899,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2538,G6PC1,G6PC,2538,18805,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2597,GAPDH,GAPDH,2597,13948,direct,Metabolism,True,6,0.1963534361851332,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:26330,GAPDHS,GAPDHS,26330,20493,direct,Metabolism,True,6,0.1963534361851332,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2645,GCK,GCK,2645,8815,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:2821,GPI,GPI,2821,20457,direct,Metabolism,True,10,0.035438789821679,False,0.9090909090909092
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3098,HK1,HK1,3098,11847,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3099,HK2,HK2,3099,2915,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3101,HK3,HK3,3101,7182,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:387712,ENO4,ENO4,387712,12271,direct,Metabolism,True,6,0.1986909770920991,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3939,LDHA,LDHA,3939,12737,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3945,LDHB,LDHB,3945,14152,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:3948,LDHC,LDHC,3948,12738,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:441531,PGAM4,PGAM4,441531,23290,direct,Metabolism,True,6,0.0980208820321022,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:501,ALDH7A1,ALDH7A1,501,6726,direct,Metabolism,True,5,0.0253038803179055,False,0.8333333333333334
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5105,PCK1,PCK1,5105,21873,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5106,PCK2,PCK2,5106,15737,direct,Metabolism,True,4,0.013557737260402,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5160,PDHA1,PDHA1,5160,22920,direct,Metabolism,True,6,0.148901355773726,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5161,PDHA2,PDHA2,5161,5778,direct,Metabolism,True,6,0.148901355773726,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5162,PDHB,PDHB,5162,4454,direct,Metabolism,True,6,0.148901355773726,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5211,PFKL,PFKL,5211,22226,direct,Metabolism,True,4,0.0814633006077606,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5213,PFKM,PFKM,5213,14264,direct,Metabolism,True,4,0.0814633006077606,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5214,PFKP,PFKP,5214,11467,direct,Metabolism,True,4,0.0814633006077606,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5223,PGAM1,PGAM1,5223,12097,direct,Metabolism,True,6,0.0980208820321022,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5224,PGAM2,PGAM2,5224,8810,direct,Metabolism,True,6,0.0980208820321022,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5230,PGK1,PGK1,5230,23291,direct,Metabolism,True,6,0.0974364968053607,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5232,PGK2,PGK2,5232,7903,direct,Metabolism,True,6,0.0974364968053607,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5236,PGM1,PGM1,5236,869,direct,Metabolism,True,8,0.0204534829359513,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5313,PKLR,PKLR,5313,1538,direct,Metabolism,True,6,0.1865357643758766,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:5315,PKM,PKM,5315,16785,direct,Metabolism,True,6,0.1865357643758766,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:55276,PGM2,PGM2,55276,5466,direct,Metabolism,True,8,0.0204534829359513,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:55902,ACSS2,ACSS2,55902,21625,direct,Metabolism,True,5,0.085133239831697,True,1.0
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:57818,G6PC2,G6PC2,57818,3410,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:669,BPGM,BPGM,669,9424,direct,Metabolism,True,6,0.0974364968053607,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:7167,TPI1,TPI1,7167,13968,direct,Metabolism,True,4,0.0043244506778868,False,0.8
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:80201,HKDC1,HKDC1,80201,11846,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),hsa:83440,ADPGK,ADPGK,83440,16795,direct,Metabolism,True,6,0.0182829092366259,False,0.8571428571428572
