pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
Androgen,TMPRSS2,7113,22180,11.4906307374,symbol
Androgen,NKX3-1,4824,9827,10.6225511027,symbol
Androgen,MBOAT2,129642,2444,10.4727329721,symbol
Androgen,KLK2,3817,21030,10.176185878,symbol
Androgen,SARG,79098,2069,11.3868523945,alias
Androgen,SLC38A4,55089,14251,7.36380493768,symbol
Androgen,MTMR9,66036,9721,6.13064559946,symbol
Androgen,ZBTB16,7704,13653,10.6144369438,symbol
Androgen,KCNN2,3781,6674,9.4731988889,symbol
Androgen,OPRK1,4986,9982,-5.62607353634,symbol
Androgen,ADAM7,8756,9833,3.11174530687,symbol
Androgen,ABCC4,10257,15480,9.37428478112,symbol
Androgen,MYBPC1,4604,14766,4.60857869284,symbol
Androgen,EAF2,55840,4704,6.94490738852,symbol
Androgen,KLK3,354,21029,14.6068407674,symbol
Androgen,OTULINL,54491,6246,7.7082177175,alias
Androgen,PEX10,5192,77,5.74946026182,symbol
Androgen,SI,6476,5018,-5.79500307445,symbol
Androgen,SNAI2,6591,9973,19.8215089854,symbol
Androgen,CAMKK2,10645,14962,3.73954403123,symbol
Androgen,BMPR1B,658,5776,4.63408450531,symbol
Androgen,F5,2153,1772,6.087825897,symbol
Androgen,LIFR,3977,6318,8.6125146918,symbol
Androgen,MAK,4117,7343,5.31367285271,symbol
Androgen,GNMT,27232,7828,5.67263863695,symbol
Androgen,MPC2,25874,1753,5.88831328709,symbol
Androgen,CTNNA2,1496,2933,3.86912654352,symbol
Androgen,CLDN8,9073,22058,7.82616312833,symbol
Androgen,LRRFIP2,9209,4139,4.14418717192,symbol
Androgen,LRRC31,79782,5037,-5.18102258915,symbol
Androgen,LPAR3,23566,966,5.84827847574,symbol
Androgen,SLC15A2,6565,4705,5.13992665138,symbol
Androgen,ELL2,22936,6616,6.5675774538,symbol
Androgen,IGF1R,3480,17054,5.01152202997,symbol
Androgen,DNM1L,10059,14213,4.18867959332,symbol
Androgen,LRIG1,26018,4488,6.62607205612,symbol
Androgen,SLITRK3,22865,5019,-3.32064361336,symbol
Androgen,KCNMA1,3778,11927,3.54241990608,symbol
Androgen,NPPC,4880,3820,4.04611571241,symbol
Androgen,ELK4,2005,2043,2.73317183336,symbol
Androgen,MRPS18A,55168,7856,3.92493588807,symbol
Androgen,CBLL1,79872,9277,5.32543758834,symbol
Androgen,AFF3,3899,3065,2.48009244085,symbol
Androgen,SGK1,6446,8271,12.8168418138,symbol
Androgen,STK39,27347,3405,6.93412462041,symbol
Androgen,PMEPA1,56937,21875,10.9989122239,symbol
Androgen,MALT1,10892,19677,6.66978209415,symbol
Androgen,CDK8,1024,15155,-4.29086828336,symbol
Androgen,CROT,54677,9046,4.35830672292,symbol
Androgen,PGC,5225,7805,4.7496332151,symbol
Androgen,STEAP4,79689,9055,9.19433931111,symbol
Androgen,NSMAF,8439,10015,3.28454451793,symbol
Androgen,GPR63,81491,8078,-3.22759309882,symbol
Androgen,TLL1,7092,6067,-2.46391807731,symbol
Androgen,MAF,4094,17928,5.86387138398,symbol
Androgen,DHCR24,1718,824,6.84300840294,symbol
Androgen,FRK,2444,8166,4.70024893522,symbol
Androgen,CENPN,55839,17937,8.49101673326,symbol
Androgen,SORD,6652,16572,5.77756578443,symbol
Androgen,IQGAP2,10788,6517,5.12448342846,symbol
Androgen,MPHOSPH9,10198,15000,5.10619862739,symbol
Androgen,HOXC13,3229,14415,-3.63425580489,symbol
Androgen,CHRNA2,1135,9850,3.3317016194,symbol
Androgen,CTBP1,1487,5297,-2.89217188229,symbol
Androgen,KLF15,28999,4749,2.83253408437,symbol
Androgen,ACSL3,2181,3766,8.25821358567,symbol
Androgen,TPD52,7163,10118,4.54571137515,symbol
Androgen,SPDEF,25803,7719,3.75095128457,symbol
Androgen,FZD5,7855,3648,4.68661955181,symbol
Androgen,GRIK1,2897,22053,-1.64651345517,symbol
Androgen,CSGALNACT1,55790,9776,6.84603443294,symbol
Androgen,DNASE2B,58511,958,3.01132858824,symbol
Androgen,PHF8,23133,23158,1.86964493558,symbol
Androgen,ARHGEF26,26084,4964,5.31107976025,symbol
Androgen,UAP1,6675,1717,7.62235942884,symbol
Androgen,ECI2,10455,7302,4.26810222296,symbol
Androgen,ADPRM,56985,18329,4.13348871896,symbol
Androgen,GRHL2,79977,10230,4.29572486397,symbol
Androgen,ENDOD1,23052,13538,6.51615227021,symbol
Androgen,NCAPD3,23310,13866,8.44090141153,symbol
Androgen,AZGP1,563,9151,5.81835009695,symbol
Androgen,ACP3,55,4821,-3.01472809845,alias
Androgen,TSPAN3,10099,16863,-3.04694823602,symbol
Androgen,IGF1,3479,14775,2.68011765402,symbol
Androgen,PDE9A,5152,22200,2.90020939568,symbol
Androgen,SYTL2,54843,13476,-5.38953615735,symbol
Androgen,PPP2CB,5516,9885,2.35261800325,symbol
Androgen,MYNN,55892,5034,-2.91880437202,symbol
Androgen,RAB3B,5865,775,4.39309957965,symbol
Androgen,SEC14L2,23541,22519,4.38852738911,symbol
Androgen,PSMD8,5714,20587,3.65732836091,symbol
Androgen,UBE2J1,51465,8060,3.76002103397,symbol
Androgen,FUT8,2530,15993,-4.40595359044,symbol
Androgen,PAK1IP1,55003,7340,7.6919315634,symbol
Androgen,MANEA,79694,8074,-4.00414637037,symbol
Androgen,GCG,2641,3378,-2.17133592689,symbol
Androgen,SELENOP,6414,6346,6.33678058131,alias
Androgen,TRPM8,79054,3859,3.83541868895,symbol
Androgen,SCAP,22937,4268,2.92921089044,symbol
Androgen,MCCC2,64087,6485,2.80800480204,symbol
EGFR,LZTFL1,54585,4235,-1.873876929252963,symbol
EGFR,PHLDA2,7262,12504,3.5051383414014112,symbol
EGFR,DUSP6,1848,14687,12.629312588446036,symbol
EGFR,DUSP5,1847,12230,7.943039506997307,symbol
EGFR,PHLDA1,22822,14649,6.619626128742468,symbol
