idx,gene_symbol,entrez
0,CH17-408M7.1,102724558
1,DDX11L1,100287102
2,WASH7P,653635
3,FAM138A,645520
4,OR4F5,79501
5,HYDIN2,100288805
6,LOC729737,729737
7,LOC100132062,100132062
8,OR4F29,729759
9,LOC101928626,101928626
10,OR4F16,81399
11,LOC100133331,100133331
12,LOC100288069,100288069
13,FAM87B,400728
14,LINC00115,79854
15,LINC01128,643837
16,FAM41C,284593
17,LOC100130417,100130417
18,SAMD11,148398
19,NOC2L,26155
20,KLHL17,339451
21,PLEKHN1,84069
22,PERM1,84808
23,HES4,57801
24,ISG15,9636
25,AGRN,375790
26,RNF223,401934
27,C1orf159,54991
28,LINC01342,254099
29,TTLL10,254173
30,TNFRSF18,8784
31,TNFRSF4,7293
32,SDF4,51150
33,B3GALT6,126792
34,FAM132A,388581
35,UBE2J2,118424
36,SCNN1D,6339
37,ACAP3,116983
38,PUSL1,126789
39,CPSF3L,54973
40,CPTP,80772
41,TAS1R3,83756
42,DVL1,1855
43,MXRA8,54587
44,AURKAIP1,54998
45,CCNL2,81669
46,LOC148413,148413
47,MRPL20,55052
48,ANKRD65,441869
49,TMEM88B,643965
50,LOC102724312,102724312
51,VWA1,64856
52,ATAD3C,219293
53,ATAD3B,83858
54,ATAD3A,55210
55,TMEM240,339453
56,SSU72,29101
57,C1orf233,643988
58,MIB2,142678
59,MMP23B,8510
60,CDK11B,984
61,SLC35E2B,728661
62,MMP23A,8511
63,CDK11A,728642
64,SLC35E2,9906
65,NADK,65220
66,GNB1,2782
67,CALML6,163688
68,TMEM52,339456
69,CFAP74,85452
70,GABRD,2563
71,PRKCZ,5590
72,FAAP20,199990
73,SKI,6497
74,MORN1,79906
75,LOC100129534,100129534
76,RER1,11079
77,PEX10,5192
78,PLCH2,9651
79,PANK4,55229
80,HES5,388585
81,LOC115110,115110
82,TNFRSF14,8764
83,LOC100996583,100996583
84,FAM213B,127281
85,MMEL1,79258
86,TTC34,100287898
87,ACTRT2,140625
88,LINC00982,440556
89,PRDM16,63976
90,ARHGEF16,27237
91,MEGF6,1953
92,TPRG1L,127262
93,WRAP73,49856
94,TP73,7161
95,TP73-AS1,57212
96,CCDC27,148870
97,SMIM1,388588
98,LRRC47,57470
99,CEP104,9731
100,DFFB,1677
101,C1orf174,339448
102,LINC01134,100133612
103,LINC01346,728716
104,LOC284661,284661
105,AJAP1,55966
106,NPHP4,261734
107,KCNAB2,8514
108,CHD5,26038
109,RPL22,6146
110,LOC102724450,102724450
111,RNF207,388591
112,ICMT,23463
113,LINC00337,148645
114,HES3,390992
115,GPR153,387509
116,ACOT7,11332
117,HES2,54626
118,ESPN,83715
119,TNFRSF25,8718
120,PLEKHG5,57449
121,NOL9,79707
122,TAS1R1,80835
123,ZBTB48,3104
124,KLHL21,9903
125,PHF13,148479
126,THAP3,90326
127,DNAJC11,55735
128,CAMTA1,23261
129,VAMP3,9341
130,PER3,8863
131,UTS2,10911
132,TNFRSF9,3604
133,PARK7,11315
134,ERRFI1,54206
135,LOC102724539,102724539
136,SLC45A1,50651
137,RERE,473
138,LOC102724552,102724552
139,ENO1,2023
140,MIR6728,102465436
141,ENO1-AS1,100505975
142,CA6,765
143,SLC2A7,155184
144,SLC2A5,6518
145,GPR157,80045
146,H6PD,9563
147,SPSB1,80176
148,LOC100506022,100506022
149,SLC25A33,84275
150,TMEM201,199953
151,PIK3CD,5293
152,PIK3CD-AS1,644997
153,PIK3CD-AS2,101929074
154,CLSTN1,22883
155,CTNNBIP1,56998
156,LZIC,84328
157,NMNAT1,64802
158,RBP7,116362
159,UBE4B,10277
160,KIF1B,23095
161,PGD,5226
162,APITD1,378708
163,APITD1-CORT,100526739
164,CORT,1325
165,DFFA,1676
166,PEX14,5195
167,CASZ1,54897
168,C1orf127,148345
169,TARDBP,23435
170,MASP2,10747
171,SRM,6723
172,EXOSC10,5394
173,MTOR,2475
174,MTOR-AS1,100873935
175,ANGPTL7,10218
176,UBIAD1,29914
177,PTCHD2,57540
178,LOC101929181,101929181
179,FBXO2,26232
180,FBXO44,93611
181,FBXO6,26270
182,MAD2L2,10459
183,DRAXIN,374946
184,AGTRAP,57085
185,C1orf167,284498
186,LOC102724659,102724659
187,MTHFR,4524
188,CLCN6,1185
189,NPPA-AS1,100379251
190,NPPA,4878
191,NPPB,4879
192,KIAA2013,90231
193,PLOD1,5351
194,MFN2,9927
195,MIIP,60672
196,TNFRSF8,943
197,TNFRSF1B,7133
198,VPS13D,55187
199,SNORA59A,677885
200,DHRS3,9249
201,AADACL4,343066
202,AADACL3,126767
203,C1orf158,93190
204,PRAMEF12,390999
205,PRAMEF1,65121
206,PRAMEF11,440560
207,LOC101060301,101060301
208,HNRNPCL3,649330
209,HNRNPCL1,343069
210,PRAMEF2,65122
211,PRAMEF4,400735
212,PRAMEF7,441871
213,PRAMEF6,440561
214,PRAMEF9,343070
215,PRAMEF18,391003
216,PRAMEF25,441873
217,LOC645359,645359
218,HNRNPCL2,440563
219,PRAMEF5,343068
220,PRAMEF16,654348
